PPI, Accuracy, Precision, Recall, F-measure, G-mean2, Specificity, NPV, TN, FP, FN, TP
1018.0,0.7613,0.4955,0.4564,0.4752,0.625,0.8559,0.8354,665.0,112.0,131.0,110.0
1018.0,0.7692,0.5144,0.444,0.4766,0.6215,0.87,0.8346,676.0,101.0,134.0,107.0
1018.0,0.7505,0.4721,0.4564,0.4641,0.6198,0.8417,0.8331,654.0,123.0,131.0,110.0
1018.0,0.7613,0.4955,0.4564,0.4752,0.625,0.8559,0.8354,665.0,112.0,131.0,110.0
734.0,0.7411,0.4516,0.4884,0.4693,0.6322,0.8185,0.8394,460.0,102.0,88.0,84.0
734.0,0.7643,0.4969,0.4709,0.4836,0.6342,0.8541,0.8406,480.0,82.0,91.0,81.0
734.0,0.7057,0.375,0.3837,0.3793,0.5555,0.8043,0.81,452.0,110.0,106.0,66.0
734.0,0.6158,0.2135,0.2384,0.2253,0.4175,0.7313,0.7583,411.0,151.0,131.0,41.0
541.0,0.7301,0.5503,0.5706,0.5602,0.6752,0.7989,0.8118,302.0,76.0,70.0,93.0
541.0,0.7264,0.5478,0.5276,0.5375,0.6546,0.8122,0.7995,307.0,71.0,77.0,86.0
541.0,0.6728,0.4562,0.4479,0.452,0.5872,0.7698,0.7638,291.0,87.0,90.0,73.0
541.0,0.5508,0.2561,0.2577,0.2569,0.4177,0.6772,0.679,256.0,122.0,121.0,42.0
1018, 0.8360, 0.6529, 0.6556, 0.6542, 0.7647, 0.8919, 0.8930, 693, 84, 83, 158
734, 0.8065, 0.5758, 0.6628, 0.6162, 0.7508, 0.8505, 0.8918, 478, 84, 58, 114
541, 0.8059, 0.7042, 0.6135, 0.6557, 0.7385, 0.8889, 0.8421, 336, 42, 63, 100
